CARRERA,PERIODO,NIVEL,PARALELO,ASIGNATURA,PRIMER_PARCIAL,SEGUNDO_PARCIAL,RECUPERACION,NOTA_FINAL,ASISTENCIA,ESTADO_FINAL
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,F,PROGRAMACION VISUAL,7.2,8.25,,7.73,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,F,BASE DE DATOS AVANZADA,7.13,8.55,,7.84,86.25,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,F,CALCULO DIFERENCIAL E INTEGRAL,8,9.6,,8.8,90.63,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,F,DISEÑO MULTIMEDIA,7.58,9.28,,8.43,98.44,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,F,FUNDAMENTOS DE ADMINISTRACION,7.8,8.2,,8,87.5,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,F,INGLES B1.1 (TECHNICAL),7.57,8.7,,8.14,96.88,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,F,INGLES B1.2 (SPECIFIC PURPOSE),6,0,,1.2,70.31,REPROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,F,LEGISLACION INFORMATICA,3.6,0,,0.72,53.13,REPROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,F,PROGRAMACION DE APLICACIONES WEB,2,0,,0.4,51.04,REPROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,F,DESARROLLO DE APLICACIONES MOVILES,1,5.25,,1.25,73.75,REPROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,F,DIVERSIDAD Y CULTURA,7.2,4,0,2.24,84.38,REPROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,F,ESTADISTICA DESCRIPTIVA,6.2,1.5,0,1.54,59.38,REPROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,A,ALGEBRA Y TRIGONOMETRIA,7.9,8.85,,8.38,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,A,PROGRAMACION ORIENTADA A OBJETO,7.65,10,,8.82,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,A,LENGUAJE Y COMUNICACIÓN,10,9.6,,9.8,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,A,METODOLOGIAS DEL DESARROLLO DE SOFTWARE,7.18,9.93,,8.56,98.44,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,A,INGLES A2 (INTERMEDIO),10,8.96,,9.48,93.75,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,A,BASE DE DATOS,5.9,9.6,,7.75,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,TERCERO,E,EDICION DE AUDIO Y VIDEO PREMIER,9.4,9.64,,9.52,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,TERCERO,E,TECNICAS DE IMPRESION,9,8.18,,8.59,95.31,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,TERCERO,E,SOFTWARE DE TRATAMIENTO DE IMAGEN,8.3,10,,9.15,96.88,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,TERCERO,E,SEMIOTICA,9.5,9.08,,9.29,96.25,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,TERCERO,E,ENVASE EMPAQUE Y EMBALAJE,9.25,9.24,,9.25,95.31,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,SEGUNDO,A,TICS II,0,0,,0,35.94,REPROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,SEGUNDO,A,MATEMATICA FINANCIERA,0,0,,0,10.41,REPROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,SEGUNDO,A,INVESTIGACION DE MERCADO,0.5,0,,0.1,37.5,REPROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,SEGUNDO,A,METODOLOGIA DE LA INVESTIGACION,0,0,,0,2.5,REPROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,SEGUNDO,A,METODOS ESTADISTICOS PARA LA TOMA DE DECISIONES,3.5,0,,0.7,46.88,REPROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,SEGUNDO,A,COMPORTAMIENTO Y PSICOLOGIA DEL CONSUMIDOR,3,0,,0.6,7.5,REPROBADO
NT-DESARROLLO DE SOFTWARE,2023-1P,PRIMERO,E,NT-BASE DE DATOS I,0,0,,0,52.08,REPROBADO
NT-DESARROLLO DE SOFTWARE,2023-1P,PRIMERO,E,NT-COMUNICACIÓN EN ERA DIGITAL,0,0,,0,15.62,REPROBADO
NT-DESARROLLO DE SOFTWARE,2023-1P,PRIMERO,E,NT-FUNDAMENTOS DE PROGRAMACIÓN,1,0.2,,0.24,58.33,REPROBADO
NT-DESARROLLO DE SOFTWARE,2023-1P,PRIMERO,E,NT-INGLÉS TÉCNICO 1,0,0,,0,86.25,REPROBADO
NT-DESARROLLO DE SOFTWARE,2023-1P,PRIMERO,E,NT-MATEMÁTICAS FINANCIERAS,0,0,,0,25,REPROBADO
NT-TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,PRIMERO,C,NT-EXPRESION ORAL Y ESCRITA,6.4,9.55,,7.98,98.44,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,TERCERO,D,SOFTWARE DE TRATAMIENTO DE IMAGEN,6.58,8.4,,7.49,90.63,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,TERCERO,D,EDICION DE AUDIO Y VIDEO PREMIER,9.8,9.05,,9.43,95,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,TERCERO,D,ENVASE EMPAQUE Y EMBALAJE,7.3,9.36,,8.33,90.63,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,TERCERO,D,SEMIOTICA,9,8,,8.5,96.25,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,TERCERO,D,TECNICAS DE IMPRESION,9,8.8,,8.9,93.75,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,QUINTO,B,MARKETING ESTRATEGICO,8.9,9,,8.95,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,QUINTO,B,COMERCIO DIGITAL Y COMUNITY MANAGMENT,10,9.89,,9.95,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,QUINTO,B,TECNICAS DE NEGOCIOS Y COMERCIO INTERNACIONAL,9.4,10,,9.7,96.88,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,QUINTO,B,NEUROMARKETING,9.93,9.5,,9.72,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,QUINTO,B,COMPORTAMIENTO PROFESIONAL Y AMBIENTAL,7.2,8.8,,8,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,SEGUNDO,D,FOTOGRAFIA,7.6,8.65,,8.13,87.5,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,SEGUNDO,D,ETICA LABORAL Y PROFESIONAL,9.58,9.8,,9.69,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,SEGUNDO,D,DIBUJO ARTISTICO,8.8,8.19,,8.5,92.5,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,SEGUNDO,D,SOFTWARE DE ILUSTRACION,7.75,7.99,,7.87,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,SEGUNDO,D,RELACIONES PUBLICAS,8.9,8.2,,8.55,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,SEGUNDO,D,PSICOLOGIA DEL COLOR,8.25,9.35,,8.8,100,APROBADO
NT-TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,PRIMERO,G,NT-CONTABILIDAD GENERAL,8.5,8.7,,8.6,97.97,APROBADO
NT-TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,PRIMERO,G,NT-ENTORNO EMPRESARIAL,9.7,10,,9.85,85.42,APROBADO
NT-TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,PRIMERO,G,NT-EXPRESION ORAL Y ESCRITA,8.4,9.78,,9.09,96.88,APROBADO
NT-TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,PRIMERO,G,NT-FUNDAMENTOS DE MARKETING,9.29,10,,9.65,100,APROBADO
NT-TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,PRIMERO,G,NT-MATEMATICAS,8.03,9.31,,8.67,100,APROBADO
NT-TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,PRIMERO,G,NT-TICS I,8.93,8.9,,8.91,100,APROBADO
NT-TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,PRIMERO,A,NT-MATEMATICAS,0.6,0,,0.12,46.88,REPROBADO
NT-TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,PRIMERO,A,NT-ENTORNO EMPRESARIAL,0,0,,0,41.67,REPROBADO
NT-TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,PRIMERO,A,NT-TICS I,0,0,,0,15.62,REPROBADO
NT-TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,PRIMERO,A,NT-EXPRESION ORAL Y ESCRITA,0,0,0,0,73.44,REPROBADO
NT-TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,PRIMERO,A,NT-FUNDAMENTOS DE MARKETING,0,0,,0,83.75,REPROBADO
NT-TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,PRIMERO,A,NT-CONTABILIDAD GENERAL,0.75,0,,0.15,25.26,REPROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,D,BASE DE DATOS AVANZADA,8.8,8.2,,8.5,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,D,CALCULO DIFERENCIAL E INTEGRAL,7.93,9.6,,8.77,98.44,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,D,DISEÑO MULTIMEDIA,8.9,,,9.23,98.44,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,D,PROGRAMACION VISUAL,8.73,9.17,,8.95,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,D,INGLES B1.1 (TECHNICAL),8.48,8.04,,8.26,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,D,FUNDAMENTOS DE ADMINISTRACION,9.6,10,,9.8,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,TERCERO,B,EDICION DE AUDIO Y VIDEO PREMIER,9.6,9.7,,9.65,92.5,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,TERCERO,B,TECNICAS DE IMPRESION,8.48,9.8,,9.14,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,TERCERO,B,SOFTWARE DE TRATAMIENTO DE IMAGEN,9.85,9.7,,9.77,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,TERCERO,B,SEMIOTICA,9,8.4,,8.7,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,TERCERO,B,ENVASE EMPAQUE Y EMBALAJE,8.69,10,,9.34,96.88,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,C,INGLES A2 (INTERMEDIO),6.8,7.6,,7.2,96.88,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,C,BASE DE DATOS,7.65,8.8,,8.23,96.25,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,C,ALGEBRA Y TRIGONOMETRIA,8.5,8.05,,8.28,90.63,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,C,PROGRAMACION ORIENTADA A OBJETO,8.6,7.1,,7.85,87.5,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,C,LENGUAJE Y COMUNICACIÓN,8.8,9.6,,9.2,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,C,METODOLOGIAS DEL DESARROLLO DE SOFTWARE,7.7,9.15,,8.43,96.88,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,QUINTO,E,FUNDAMENTOS DE REDES Y CONECTIVIDAD,7,9.06,,8.03,92.71,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,QUINTO,E,EMPRENDIMIENTO,8.8,10,,9.4,96.88,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,QUINTO,E,CALIDAD DE SOFTWARE,7.6,7.8,,7.7,96.25,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,QUINTO,E,ETICA PROFESIONAL,7.8,9.84,,8.82,96.88,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,QUINTO,E,TENDENCIAS ACTUALES DE PROGRAMACION,8.45,9.35,,8.9,96.09,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,G,DIVERSIDAD Y CULTURA,8.4,10,,9.2,87.5,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,G,DESARROLLO DE APLICACIONES MOVILES,2.32,5.85,6,5.23,90,REPROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,G,INGLES B1.2 (SPECIFIC PURPOSE),5.8,7.02,8,7.36,78.13,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,G,LEGISLACION INFORMATICA,6.6,9.2,,7.9,93.75,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,G,PROGRAMACION DE APLICACIONES WEB,6.39,7.05,10,8.69,87.5,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,G,ESTADISTICA DESCRIPTIVA,5.08,5.2,9,7.46,98.44,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,SEGUNDO,A,METODOS ESTADISTICOS PARA LA TOMA DE DECISIONES,10,10,,10,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,SEGUNDO,A,TICS II,9.2,10,,9.6,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,SEGUNDO,A,METODOLOGIA DE LA INVESTIGACION,7.74,8.8,,8.27,95,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,SEGUNDO,A,MATEMATICA FINANCIERA,7.4,7.2,,7.3,98.96,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,SEGUNDO,A,INVESTIGACION DE MERCADO,10,10,,10,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,SEGUNDO,A,COMPORTAMIENTO Y PSICOLOGIA DEL CONSUMIDOR,9.2,8.8,,9,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,C,DISEÑO MULTIMEDIA,6.1,9.1,,7.6,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,C,BASE DE DATOS AVANZADA,5.2,8,4,5.04,90,REPROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,C,PROGRAMACION VISUAL,7.15,8.4,,7.78,98.75,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,C,CALCULO DIFERENCIAL E INTEGRAL,7.45,9.2,,8.32,82.81,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,C,INGLES B1.1 (TECHNICAL),7.51,9.04,,8.27,79.69,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,C,FUNDAMENTOS DE ADMINISTRACION,7,9.7,,8.35,91.67,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,A,DIVERSIDAD Y CULTURA,10,9.2,,9.6,87.5,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,A,DESARROLLO DE APLICACIONES MOVILES,8.4,9,,8.7,93.13,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,A,ESTADISTICA DESCRIPTIVA,5.3,8.5,10,8.76,79.69,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,A,INGLES B1.2 (SPECIFIC PURPOSE),6.98,9.6,,8.29,92.19,APROBADO
